2021-06-29 22:06:494 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 22:06:320 INFO  HomePage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (1cf8140a63e15f0544251525f938b725)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-29 22:06:747 INFO  BankManagerLoginPage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (1cf8140a63e15f0544251525f938b725)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-29 22:06:867 INFO  AddCustomerPage :32 - Send text Jenna to field : [[ChromeDriver: chrome on WINDOWS (1cf8140a63e15f0544251525f938b725)] -> xpath: //input[@placeholder='First Name']]
2021-06-29 22:06:959 INFO  AddCustomerPage :37 - Send text Salvator to field : [[ChromeDriver: chrome on WINDOWS (1cf8140a63e15f0544251525f938b725)] -> xpath: //input[@placeholder='Last Name']]
2021-06-29 22:06:979 INFO  AddCustomerPage :41 - Send text : LE43NJ to field : [[ChromeDriver: chrome on WINDOWS (1cf8140a63e15f0544251525f938b725)] -> xpath: //input[@placeholder='Post Code']]
2021-06-29 22:06:179 INFO  AddCustomerPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (1cf8140a63e15f0544251525f938b725)] -> css selector: button.btn.btn-default]
2021-06-29 22:06:770 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 22:06:741 INFO  HomePage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (5688827dc1c2058e131806a769fb311d)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-29 22:06:164 INFO  BankManagerLoginPage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (5688827dc1c2058e131806a769fb311d)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-29 22:06:296 INFO  AddCustomerPage :32 - Send text Jenna to field : [[ChromeDriver: chrome on WINDOWS (5688827dc1c2058e131806a769fb311d)] -> xpath: //input[@placeholder='First Name']]
2021-06-29 22:06:391 INFO  AddCustomerPage :37 - Send text Salvator to field : [[ChromeDriver: chrome on WINDOWS (5688827dc1c2058e131806a769fb311d)] -> xpath: //input[@placeholder='Last Name']]
